,gdp,0,ipi_2,l_ipi,ipi_filtered,cf_cycle,cf_trend
2000/Q1,2.0,52.9,,3.9684033388642534,,-0.004409521109697945,3.9728128599739514
2000/Q2,1.5,54.5,3.0245746691871522,3.9982007016691985,,-0.00040834801286349087,3.9910593659946425
2000/Q3,2.7,55.3,1.4678899082568808,4.012772908528289,,-0.0014934052313371193,3.9991669463847863
2000/Q4,-0.3,54.3,-1.8083182640144635,3.9945242269398897,,-0.008000709003369577,3.9798758848810003
2001/Q1,1.0,54.9,1.104972375690605,4.005513348515485,-0.010638371086855732,-0.01538568924391881,3.9907003030097243
2001/Q2,1.5,56.4,2.732240437158473,4.032469158504013,-0.016163353684325622,-0.017100032523756026,4.011820772590671
2001/Q3,1.3,57.0,1.0638297872340496,4.04305126783455,-0.011313935509989884,-0.009448498113395987,4.007201663823428
2001/Q4,1.5,57.8,1.403508771929829,4.056988775678332,0.00044616658208719665,0.005323145053409251,3.998817844812984
2002/Q1,2.8,60.0,3.806228373702436,4.0943445622221,0.009417664458260451,0.020216869685997563,4.013730223036744
2002/Q2,1.9,61.2,2.0000000000000018,4.11414718951828,0.014607529620275953,0.02813196650256894,4.018068069828933
2002/Q3,1.9,62.0,1.3071895424836555,4.127134385045092,0.01568530216211389,0.02647137114717063,4.025166177023723
2002/Q4,0.9,62.2,0.3225806451612856,4.130354999745133,0.008583957069699125,0.018331101446706174,4.02897737773681
2003/Q1,-0.5,62.1,-0.1607717041800627,4.128745988939433,-0.0024622558984888944,0.009661664869541786,4.028488119820853
2003/Q2,0.1,62.7,0.9661835748792313,4.138361447638875,-0.006276534691038475,0.004852404089828177,4.03536315561259
2003/Q3,1.6,63.3,0.956937799043045,4.147885329150131,-0.002201903323742019,0.00410897410055916,4.038080783425695
2003/Q4,2.5,64.2,1.4218009478673022,4.162003210695915,0.005206167775744614,0.0042439026531170265,4.044514052731501
2004/Q1,1.4,65.2,1.5576323987538832,4.177459468932607,0.005790095195240094,0.00174910930313249,4.054915420630759
2004/Q2,0.8,65.5,0.4601226993864893,4.182050142641207,0.0017143533534584973,-0.004457607364806548,4.058163127319877
2004/Q3,0.3,65.1,-0.6106870229007688,4.175924549214524,-0.003984736365401089,-0.01248264707662372,4.052512889917591
2004/Q4,0.8,65.2,0.1536098310291889,4.177459468932607,-0.009938065686045206,-0.019005407375764005,4.0530208862473955
2005/Q1,0.9,67.0,2.7607361963190247,4.204692619390966,-0.010843815707539043,-0.021410635553672452,4.075109581196243
2005/Q2,1.9,67.4,0.5970149253731405,4.210645017918261,-0.005588091497142794,-0.019063713237505303,4.071165373719951
2005/Q3,1.4,68.3,1.3353115727002818,4.223909766576744,0.002344609738396237,-0.013330645505499589,4.071147370959008
2005/Q4,1.1,69.9,2.3426061493411643,4.247065649239764,0.0018308207864311272,-0.006776880986334971,4.080199805415444
2006/Q1,1.6,70.8,1.2875536480686511,4.259859000699674,-0.0002530373583970555,-0.0020333253982769695,4.080699917599876
2006/Q2,0.7,71.4,0.847457627118664,4.268297869345539,0.0005105057926210478,-0.0005430208439769629,4.0800987980040215
2006/Q3,1.6,71.6,0.28011204481790397,4.2710950739666,-0.00185403585645408,-0.001502837889458715,4.076306135983144
2006/Q4,0.8,74.2,3.6312849162011274,4.3067641501733345,-0.005176205111163767,-0.001764056464153771,4.104686747077154
2007/Q1,1.8,74.5,0.40431266846361336,4.310799125385514,-0.003615284422313299,0.0025597033675074654,4.096848278770253
2007/Q2,1.7,75.3,1.0738255033557076,4.321480134805848,0.0027404591428262866,0.013106089594988574,4.089433218275685
2007/Q3,1.2,77.1,2.39043824701195,4.345103280569283,0.010010906022545877,0.026776341569329787,4.09183642837736
2007/Q4,2.0,79.0,2.4643320363164856,4.3694478524670215,0.023002673567564712,0.03611166421315981,4.099295993943848
2008/Q1,0.8,79.6,0.7594936708860578,4.377014092850337,0.03169576917301574,0.033307336626791,4.102116878226113
2008/Q2,0.4,79.2,-0.5025125628140614,4.37197629882038,0.017969443092631345,0.0157568326216537,4.107079904513873
2008/Q3,0.7,79.1,-0.12626262626264095,4.370712874773608,-0.007961483278863759,-0.01084214027661451,4.1248657696779505
2008/Q4,-3.4,75.1,-5.056890012642223,4.318820558770089,-0.027780313513829577,-0.03469646431674603,4.089278094027143
2009/Q1,0.3,75.3,0.26631158455392434,4.321480134805848,-0.03374360987516982,-0.04463209653945456,4.09432361859819
2009/Q2,1.4,78.8,4.648074369189903,4.366912996863833,-0.02491089543020118,-0.03693594351255809,4.12451064394186
2009/Q3,3.1,80.9,2.664974619289362,4.393213824064446,-0.004469301732551158,-0.017469602452238026,4.123795446394732
2009/Q4,0.7,81.6,0.8652657601977642,4.401829261970061,0.014799624644262406,0.002519663444057532,4.104871934716631
2010/Q1,2.3,83.6,2.450980392156854,4.426043520090656,0.014419082852953787,0.013839446639645328,4.110216725954219
2010/Q2,1.6,85.0,1.674641148325362,4.442651256490317,0.007201159060860149,0.01465992646346596,4.118454298842639
2010/Q3,1.0,84.4,-0.7058823529411673,4.4355674016019115,0.004198464096584252,0.010125060620787073,4.108355626109494
2010/Q4,1.4,85.3,1.0663507109004655,4.446174454497633,0.003970785748268746,0.007177287800284135,4.114360768138298
2011/Q1,1.0,86.9,1.8757327080891173,4.464758032271346,0.002393335897914924,0.009008873838678946,4.123563076186196
2011/Q2,0.4,87.3,0.4602991944764101,4.469350462845557,0.003783210568905492,0.013363283409157364,4.116251413502509
2011/Q3,0.5,87.6,0.3436426116838476,4.472780997942346,0.006638000272630611,0.015428602823625043,4.110066945497411
2011/Q4,0.7,87.7,0.11415525114155667,4.473921899378137,0.003995950590468786,0.012351110542391713,4.106735655527015
2012/Q1,1.0,88.5,0.9122006841504993,4.483002552013883,0.00019747239369711465,0.005483120781896472,4.115134614235838
2012/Q2,0.4,88.6,0.11299435028246929,4.484131857611035,-0.0011267036070422916,-0.0011591874422036963,4.115356544369669
2012/Q3,0.4,88.3,-0.3386004514672636,4.480740107609915,-0.0007485462086693984,-0.004413361345722594,4.107669284584648
2012/Q4,0.7,89.0,0.7927519818799578,4.48863636973214,-0.0009812796830489968,-0.0042420144329217285,4.107844516106653
2013/Q1,0.8,89.7,0.786516853932584,4.49647076906475,-0.002452210090632079,-0.003043629567381176,4.106930846886303
2013/Q2,1.1,90.0,0.33444816053511683,4.499809670330265,-0.0010808756367675532,-0.0030830264946827696,4.1027594613917
2013/Q3,1.0,89.8,-0.22222222222222365,4.497584975308154,0.0011586664334584033,-0.004612890519420709,4.094514946706906
2013/Q4,0.9,90.7,1.0022271714922093,4.507557357121091,0.0025752827560785157,-0.006261848033813369,4.098586602346816
2014/Q1,0.8,91.7,1.1025358324145529,4.51852237926242,0.002980937874075392,-0.0069429685549415344,4.102683061321853
2014/Q2,0.9,91.5,-0.21810250817885235,4.516338972281476,0.00291558010807762,-0.007158140259844896,4.0931651423583935
2014/Q3,0.3,91.4,-0.10928961748633004,4.515245478460105,-0.000974654376230751,-0.00835753387250373,4.08572135846226
2014/Q4,0.5,91.4,0.0,4.515245478460105,-0.005935490072920134,-0.011069939200969707,4.080884080103306
2015/Q1,0.9,92.1,0.7658643326039272,4.522874943261261,-0.006381233190729505,-0.013800001451445498,4.08369392346752
2015/Q2,0.4,92.2,0.10857763300760048,4.523960130562548,-0.0042512248722138815,-0.013963849815200234,4.077393275445141
2015/Q3,1.5,93.7,1.626898047722336,4.540098189244376,-0.0016300592393703078,-0.010129616072597117,4.082147416696947
2015/Q4,0.8,94.3,0.6403415154749181,4.546481189639412,0.00028783973400309986,-0.00348563327291862,4.074336750604884
2016/Q1,0.4,94.4,0.10604453870626251,4.547541073151455,-0.0005373284915727832,0.0029210660116513743,4.061440251144938
2016/Q2,1.3,95.7,1.3771186440677985,4.5612182984589085,9.627345179903471e-05,0.006606571240265313,4.063882287536357
2016/Q3,0.4,96.2,0.5224660397074254,4.566429357671661,-0.0006539683947324325,0.007609438188711584,4.060540796113243
2016/Q4,0.8,96.8,0.6237006237006071,4.572646994282532,0.002461125394455483,0.008232359052903232,4.058585828172502
2017/Q1,1.1,98.2,1.446280991735538,4.58700621536042,0.0042100191852224465,0.010781204966073502,4.062846519649801
2017/Q2,0.7,98.2,0.0,4.58700621536042,0.0026228079303272467,0.015309220137533358,4.050768820790921
2017/Q3,1.4,99.2,1.0183299389002087,4.597138014290827,0.0015171112410701229,0.019377914360635615,4.049282241810807
2017/Q4,-0.2,98.8,-0.40322580645162365,4.593097604753822,0.002116480274194613,0.020066707003959634,4.0370033559430585
2018/Q1,1.5,99.6,0.809716599190291,4.601162164590552,0.004549108828080532,0.01648964857561177,4.041095290520715
2018/Q2,0.8,100.5,0.9036144578313365,4.61015772749913,0.005311774800251533,0.01063907629595617,4.048391742021529
2018/Q3,0.5,100.8,0.29850746268655914,4.613138355637268,0.0012027022827673095,0.005820684708483341,4.04864107805972
2018/Q4,0.6,100.0,-0.7936507936507908,4.605170185988092,-0.0030616745480532242,0.00398406483711114,4.034959844594497
2019/Q1,0.1,99.3,-0.7000000000000006,4.598145571051127,-0.0038028930514197867,0.004143074103924213,4.0202265367033
2019/Q2,1.3,100.6,1.309164149043296,4.611152257665639,0.005948035119672316,0.0031337005011729743,4.026692913233142
2019/Q3,0.2,101.8,1.1928429423459175,4.623010104116422,0.009724195965312732,-0.0019414359793001879,4.036076212476979
2019/Q4,1.0,102.3,0.4911591355599265,4.627909672957581,0.005979937079554724,-0.011481516980149153,4.042966178631567
2020/Q1,-1.3,100.8,-1.4662756598240456,4.613138355637268,-0.005816829553862313,-0.02294032836473718,4.032103989008423
2020/Q2,-2.7,97.2,-3.57142857142857,4.576770711466393,-0.017937270944727798,-0.03227166192589641,3.997517994711287
2020/Q3,2.2,100.3,3.189300411522633,4.60816569496789,-0.020441420779572107,-0.03606398389892382,4.025155616498391
2020/Q4,1.6,101.7,1.3958125623130702,4.622027303054514,-0.015265768479745057,-0.032967644521789866,4.028371201520462
2021/Q1,1.5,103.3,1.5732546705997885,4.637637376125593,-0.00513801135851347,-0.02384953741743165,4.027313483799762
2021/Q2,1.4,104.4,1.0648596321394033,4.648229675448539,0.0014042054839819157,-0.011076231189119018,4.017582793206975
2021/Q3,0.0,105.5,1.0536398467432928,4.658710952916121,0.0005461989965164332,0.0023616834059728004,4.007076472392046
2021/Q4,1.6,108.1,2.4644549763033208,4.683056724645162,0.007111935759745065,0.013542665815696586,4.012691578023944
2022/Q1,0.4,109.4,1.2025901942645856,4.695010889987881,0.013072474091154026,0.020239147942109743,4.01039957755283
2022/Q2,0.9,110.9,1.3711151736745864,4.7086288943563215,0.014056546599946644,0.021593770463080284,4.0151132757128805
2022/Q3,0.5,111.3,0.36068530207393756,4.712229258281499,0.008012697958504273,0.018580471168737206,4.014177255244982
2022/Q4,-0.4,110.2,-0.9883198562443796,4.702296896718814,-0.0007018050148962687,0.013742944830809747,4.001532736332804
2023/Q1,0.4,110.3,0.09074410163338875,4.703203926259457,-0.005100996179587258,0.010020312104972035,3.9986127149118644
2023/Q2,0.7,111.3,0.9066183136899442,4.712229258281499,-0.004508006070339774,0.009175721592751873,4.000932953758707
2023/Q3,0.8,112.6,1.1680143755615324,4.72384171570559,0.0015317288683423715,0.010812858023373326,4.003358591064756
2023/Q4,0.5,113.1,0.444049733570151,4.728272383122075,0.00650582545729782,0.012703124416485745,3.998349308400709
2024/Q1,1.2,113.5,0.35366931918656697,4.7318028369214575,0.006470786782734937,0.012271732158661626,3.994761470770496
2024/Q2,-0.2,113.5,0.0,4.7318028369214575,0.003769116663784434,0.008267154806589357,3.991216364435149
2024/Q3,0.1,113.0,-0.4405286343612369,4.727387818712341,,0.0015151785604258505,3.9860036387847755
2024/Q4,0.1,113.5,0.4424778761061843,4.7318028369214575,,-0.00567150011506222,3.9900556519819608
2025/Q1,-0.2,113.5,0.0,4.7318028369214575,,-0.010922293528630056,3.9877567617081087
2025/Q2,0.6,113.4,-0.08810572687224516,4.730921391293652,,-0.013070175230077925,3.9814735140943314
