,real_gdp,l_gdp,gdp_filtered
2000/Q1,243573.1,12.403172381790984,
2000/Q2,247325.9,12.418462179121423,
2000/Q3,254117.2,12.445550856903271,
2000/Q4,253273.0,12.442223237335572,
2001/Q1,255820.8,12.452232478347305,-0.0035079038578291013
2001/Q2,259678.3,12.467198836208198,-0.008620417037784496
2001/Q3,262985.6,12.4798545568092,-0.010088584145992622
2001/Q4,266982.9,12.494939890387602,-0.0039021378997337783
2002/Q1,274419.9,12.522414694070173,0.004636271466280799
2002/Q2,279643.7,12.541271571835772,0.013016295937278126
2002/Q3,284837.5,12.559674121200361,0.015163601338228283
2002/Q4,287527.5,12.569073786819077,0.0076502455754132075
2003/Q1,285982.5,12.563685899118688,-0.0035218988111676056
2003/Q2,286171.6,12.564346909873958,-0.00942686026405438
2003/Q3,290747.7,12.580211159773526,-0.0073940576966270415
2003/Q4,298161.4,12.605390229607638,0.00025163324257688026
2004/Q1,302404.3,12.619520142763138,0.0074012454291943666
2004/Q2,304926.1,12.627824731149385,0.006365431818145212
2004/Q3,305706.2,12.63037978899482,-0.00016642849107534793
2004/Q4,308211.9,12.638542812414125,-0.005581881075790853
2005/Q1,311097.1,12.64786036108079,-0.006473417414893986
2005/Q2,316930.1,12.666436523812814,-0.003106240164904156
2005/Q3,321379.3,12.680377324486457,0.00032567180540495885
2005/Q4,325066.9,12.691786286282309,0.002407256546910359
2006/Q1,330234.4,12.707557984327162,0.0016527256528718161
2006/Q2,332617.8,12.714749362047968,-0.0012004533332579466
2006/Q3,337830.8,12.730300457411316,-0.0023565495342649473
2006/Q4,340636.5,12.73857120529763,-0.0033438093806263205
2007/Q1,346675.0,12.756143020622066,-0.0020629881956435742
2007/Q2,352543.6,12.772929581529,0.0023806428638758113
2007/Q3,356718.2,12.784701393314194,0.006010975348413794
2007/Q4,363742.3,12.804200928858906,0.015735678093324167
2008/Q1,366484.8,12.811712326051799,0.019851106280447558
2008/Q2,367818.8,12.815345704582313,0.015525127048081799
2008/Q3,370260.1,12.821961010623616,0.0010990382736957446
2008/Q4,357768.2,12.78764056963971,-0.013504770252804414
2009/Q1,358711.7,12.790274280774877,-0.02214087864593166
2009/Q2,363561.0,12.803702374806544,-0.02150081788404313
2009/Q3,374652.0,12.83375287409397,-0.011997882299257027
2009/Q4,377396.3,12.84105110794696,0.0009708233934139426
2010/Q1,386238.5,12.86421033328807,0.0053953521188615785
2010/Q2,392479.0,12.88023831158854,0.007054249437781565
2010/Q3,396469.6,12.890354646247564,0.007298134417985767
2010/Q4,402066.0,12.904371533229721,0.008318354376141205
2011/Q1,405904.8,12.913873928329869,0.0052508811093748935
2011/Q2,407666.7,12.918205207767345,0.003094536327755172
2011/Q3,409552.3,12.92281989084789,0.0016383401585857169
2011/Q4,412298.9,12.929503850731209,0.00013933132290939546
2012/Q1,416240.7,12.939018977684855,-0.0002802422522634629
2012/Q2,417998.0,12.943231926806451,-0.0010019809676591533
2012/Q3,419861.6,12.947680412145127,-0.002403635688615946
2012/Q4,422987.5,12.955097906764358,-0.0034143279901169463
2013/Q1,426342.4,12.962998058281281,-0.0029099052790623266
2013/Q2,431160.1,12.974234761827999,-0.001044417912790892
2013/Q3,435484.7,12.984214942625403,0.0015166957259889814
2013/Q4,439300.3,12.992938512868259,0.003249762309994904
2014/Q1,442669.9,13.000579624540599,0.0032865873010379685
2014/Q2,446872.4,13.010028374231664,0.0024235135205549875
2014/Q3,448023.5,13.012600965378532,-0.00016876318564875147
2014/Q4,450409.2,13.017911781886749,-0.0023685094192537216
2015/Q1,454302.8,13.026519215056698,-0.0025503195604713127
2015/Q2,456256.6,13.030810649527634,-0.0022291205271508007
2015/Q3,463025.5,13.04553740714572,2.065956312124519e-05
2015/Q4,466604.0,13.053236211185958,0.0013206291060993574
2016/Q1,468400.3,13.057078551183718,0.0009115235769714777
2016/Q2,474271.5,13.069535221508733,0.00020260668570415373
2016/Q3,476105.6,13.07339495734826,-0.0021624104675377676
2016/Q4,479773.7,13.081069813379317,-0.0005589208819992989
2017/Q1,485188.1,13.092291929782593,0.00024093817372378978
2017/Q2,488752.2,13.099610891550354,0.00023302054918268543
2017/Q3,495472.5,13.113267131716567,0.0012484891194200034
2017/Q4,494319.3,13.110936943647113,0.0013963479109496042
2018/Q1,501586.1,13.125530556593118,0.0022565225571177312
2018/Q2,505496.7,13.133296789231444,0.0018804621379130545
2018/Q3,508089.3,13.138412498513398,0.0014598739476043398
2018/Q4,510930.2,13.14398826494397,0.0008744252811653475
2019/Q1,511364.0,13.144836944367245,0.001917695931458674
2019/Q2,518107.4,13.157937835657837,0.010033161880014744
2019/Q3,519165.9,13.159978764249024,0.011536116211209447
2019/Q4,524345.1,13.169905334315674,0.005234546628480234
2020/Q1,517612.0,13.156981205825897,-0.005962179312319667
2020/Q2,503461.2,13.129261927595467,-0.01669684427277014
2020/Q3,514615.0,13.15117432725844,-0.016841480215403527
2020/Q4,522778.3,13.1669127526022,-0.010905555604755812
2021/Q1,530731.1,13.182010768945583,0.0006246215627385599
2021/Q2,538119.9,13.195836676767305,0.007244917421711742
2021/Q3,538107.6,13.195813819146588,0.00478421252770152
2021/Q4,546464.3,13.211224259670828,0.004846220586858728
2022/Q1,548545.8,13.215026055667241,0.005176723784501715
2022/Q2,553397.8,13.223832370902413,0.004662884559378359
2022/Q3,556130.3,13.228757898294443,0.0028263542189156518
2022/Q4,554084.9,13.22507320308545,-0.0011948969552429644
2023/Q1,556056.4,13.228625006937069,-0.003938234807648988
2023/Q2,559865.6,13.235452033906723,-0.003651493282561204
2023/Q3,564243.5,13.243241174896992,-0.00010116994571025165
2023/Q4,567012.3,13.24813627559629,0.004196737316014418
2024/Q1,573667.3,13.259804890534255,0.006247790648899716
2024/Q2,572357.1,13.257518376266624,0.0049573983758693764
2024/Q3,572866.1,13.258407286015423,
2024/Q4,573311.8,13.259185001276666,
2025/Q1,572057.7,13.256995139400356,
2025/Q2,575522.6,13.263033776572847,
