"시점",전산업생산지수
"2000.01",52.5
"2000.02",52.6
"2000.03",53.6
"2000.04",53.4
"2000.05",54.9
"2000.06",55.1
"2000.07",55.7
"2000.08",55.4
"2000.09",54.9
"2000.10",54.9
"2000.11",54.4
"2000.12",53.5
"2001.01",54.7
"2001.02",55.0
"2001.03",55.0
"2001.04",56.0
"2001.05",56.8
"2001.06",56.4
"2001.07",56.1
"2001.08",57.3
"2001.09",57.6
"2001.10",57.9
"2001.11",58.4
"2001.12",57.2
"2002.01",59.4
"2002.02",59.9
"2002.03",60.6
"2002.04",61.3
"2002.05",61.2
"2002.06",61.1
"2002.07",62.4
"2002.08",61.5
"2002.09",62.0
"2002.10",62.2
"2002.11",62.4
"2002.12",62.1
"2003.01",62.3
"2003.02",61.7
"2003.03",62.3
"2003.04",62.4
"2003.05",62.4
"2003.06",63.3
"2003.07",62.8
"2003.08",63.6
"2003.09",63.6
"2003.10",64.2
"2003.11",64.2
"2003.12",64.2
"2004.01",64.9
"2004.02",65.6
"2004.03",65.2
"2004.04",65.8
"2004.05",65.7
"2004.06",64.9
"2004.07",64.8
"2004.08",65.0
"2004.09",65.6
"2004.10",65.4
"2004.11",65.3
"2004.12",64.8
"2005.01",66.9
"2005.02",66.4
"2005.03",67.6
"2005.04",67.2
"2005.05",67.3
"2005.06",67.7
"2005.07",68.0
"2005.08",68.4
"2005.09",68.6
"2005.10",69.2
"2005.11",70.8
"2005.12",69.6
"2006.01",70.8
"2006.02",70.5
"2006.03",71.0
"2006.04",71.7
"2006.05",72.0
"2006.06",70.5
"2006.07",69.2
"2006.08",72.7
"2006.09",73.0
"2006.10",74.9
"2006.11",74.6
"2006.12",73.2
"2007.01",73.6
"2007.02",75.6
"2007.03",74.2
"2007.04",75.0
"2007.05",75.5
"2007.06",75.4
"2007.07",76.5
"2007.08",78.1
"2007.09",76.6
"2007.10",79.0
"2007.11",78.9
"2007.12",79.0
"2008.01",79.8
"2008.02",79.7
"2008.03",79.3
"2008.04",79.9
"2008.05",79.7
"2008.06",78.0
"2008.07",79.2
"2008.08",79.4
"2008.09",78.6
"2008.10",78.4
"2008.11",75.1
"2008.12",71.8
"2009.01",73.7
"2009.02",76.2
"2009.03",75.9
"2009.04",78.6
"2009.05",77.9
"2009.06",79.8
"2009.07",79.8
"2009.08",80.2
"2009.09",82.6
"2009.10",81.1
"2009.11",81.4
"2009.12",82.3
"2010.01",81.9
"2010.02",84.2
"2010.03",84.6
"2010.04",84.1
"2010.05",85.4
"2010.06",85.4
"2010.07",84.7
"2010.08",84.3
"2010.09",84.2
"2010.10",84.8
"2010.11",85.1
"2010.12",86.1
"2011.01",88.2
"2011.02",84.7
"2011.03",87.8
"2011.04",86.8
"2011.05",87.1
"2011.06",88.0
"2011.07",87.3
"2011.08",87.8
"2011.09",87.7
"2011.10",88.6
"2011.11",87.5
"2011.12",86.9
"2012.01",87.5
"2012.02",89.7
"2012.03",88.4
"2012.04",88.2
"2012.05",89.3
"2012.06",88.2
"2012.07",88.7
"2012.08",87.7
"2012.09",88.5
"2012.10",88.7
"2012.11",89.2
"2012.12",89.1
"2013.01",89.7
"2013.02",90.5
"2013.03",89.0
"2013.04",90.3
"2013.05",90.1
"2013.06",89.6
"2013.07",89.5
"2013.08",90.3
"2013.09",89.6
"2013.10",91.1
"2013.11",90.7
"2013.12",90.2
"2014.01",92.0
"2014.02",91.5
"2014.03",91.6
"2014.04",91.8
"2014.05",90.8
"2014.06",91.9
"2014.07",92.3
"2014.08",91.4
"2014.09",90.5
"2014.10",91.4
"2014.11",91.3
"2014.12",91.5
"2015.01",91.5
"2015.02",92.8
"2015.03",92.1
"2015.04",92.9
"2015.05",91.6
"2015.06",92.2
"2015.07",92.4
"2015.08",93.8
"2015.09",95.0
"2015.10",94.3
"2015.11",93.9
"2015.12",94.6
"2016.01",93.5
"2016.02",94.6
"2016.03",95.2
"2016.04",94.8
"2016.05",96.0
"2016.06",96.4
"2016.07",95.9
"2016.08",96.3
"2016.09",96.4
"2016.10",95.8
"2016.11",97.4
"2016.12",97.3
"2017.01",97.7
"2017.02",97.9
"2017.03",99.0
"2017.04",98.1
"2017.05",98.4
"2017.06",98.1
"2017.07",98.4
"2017.08",98.7
"2017.09",100.4
"2017.10",98.5
"2017.11",99.3
"2017.12",98.7
"2018.01",99.6
"2018.02",100.2
"2018.03",99.0
"2018.04",100.6
"2018.05",100.6
"2018.06",100.3
"2018.07",101.1
"2018.08",101.1
"2018.09",100.3
"2018.10",101.1
"2018.11",99.8
"2018.12",99.2
"2019.01",100.7
"2019.02",98.0
"2019.03",99.2
"2019.04",101.0
"2019.05",101.0
"2019.06",99.8
"2019.07",101.8
"2019.08",101.8
"2019.09",101.7
"2019.10",102.0
"2019.11",101.9
"2019.12",103.1
"2020.01",103.4
"2020.02",100.4
"2020.03",98.6
"2020.04",97.2
"2020.05",95.9
"2020.06",98.6
"2020.07",99.8
"2020.08",99.6
"2020.09",101.4
"2020.10",101.3
"2020.11",102.2
"2020.12",101.5
"2021.01",101.6
"2021.02",103.7
"2021.03",104.5
"2021.04",104.1
"2021.05",104.2
"2021.06",105.0
"2021.07",105.2
"2021.08",105.1
"2021.09",106.3
"2021.10",106.7
"2021.11",108.0
"2021.12",109.6
"2022.01",110.0
"2022.02",108.2
"2022.03",110.0
"2022.04",110.7
"2022.05",110.7
"2022.06",111.2
"2022.07",111.9
"2022.08",111.0
"2022.09",110.9
"2022.10",110.1
"2022.11",111.0
"2022.12",109.5
"2023.01",108.7
"2023.02",110.6
"2023.03",111.6
"2023.04",110.1
"2023.05",111.9
"2023.06",111.9
"2023.07",111.1
"2023.08",112.6
"2023.09",114.0
"2023.10",112.8
"2023.11",113.5
"2023.12",113.1
"2024.01",113.3
"2024.02",114.6
"2024.03",112.7
"2024.04",114.1
"2024.05",113.3
"2024.06",113.1
"2024.07",112.4
"2024.08",113.5
"2024.09",113.2
"2024.10",113.8
"2024.11",112.4
"2024.12",114.4
"2025.01",112.6
"2025.02",113.4
"2025.03",114.6
"2025.04",113.8
"2025.05 p)",112.5
"2025.06 p)",113.8
