REF_AREA,TIME_PERIOD,OBS_VALUE
ITA,Jan-70,101.1625
ITA,Feb-70,100.9817
ITA,Mar-70,100.78
ITA,Apr-70,100.5628
ITA,May-70,100.3387
ITA,Jun-70,100.1218
ITA,Jul-70,99.87233
ITA,Aug-70,99.56804
ITA,Sep-70,99.21528
ITA,Oct-70,98.82771
ITA,Nov-70,98.44219
ITA,Dec-70,98.07435
ITA,Jan-71,97.75334
ITA,Feb-71,97.48248
ITA,Mar-71,97.29409
ITA,Apr-71,97.22121
ITA,May-71,97.25377
ITA,Jun-71,97.33075
ITA,Jul-71,97.46666
ITA,Aug-71,97.65552
ITA,Sep-71,97.89966
ITA,Oct-71,98.20896
ITA,Nov-71,98.52431
ITA,Dec-71,98.83916
ITA,Jan-72,99.13483
ITA,Feb-72,99.41216
ITA,Mar-72,99.69569
ITA,Apr-72,99.99473
ITA,May-72,100.3074
ITA,Jun-72,100.6538
ITA,Jul-72,101.0314
ITA,Aug-72,101.4247
ITA,Sep-72,101.8268
ITA,Oct-72,102.2317
ITA,Nov-72,102.6333
ITA,Dec-72,103.0434
ITA,Jan-73,103.4777
ITA,Feb-73,103.8753
ITA,Mar-73,104.268
ITA,Apr-73,104.6606
ITA,May-73,105.0561
ITA,Jun-73,105.4218
ITA,Jul-73,105.7073
ITA,Aug-73,105.868
ITA,Sep-73,105.8176
ITA,Oct-73,105.559
ITA,Nov-73,105.1393
ITA,Dec-73,104.6169
ITA,Jan-74,104.0285
ITA,Feb-74,103.3956
ITA,Mar-74,102.719
ITA,Apr-74,101.9796
ITA,May-74,101.1437
ITA,Jun-74,100.2133
ITA,Jul-74,99.18793
ITA,Aug-74,98.09546
ITA,Sep-74,97.03273
ITA,Oct-74,96.12189
ITA,Nov-74,95.46236
ITA,Dec-74,95.1048
ITA,Jan-75,95.02408
ITA,Feb-75,95.15321
ITA,Mar-75,95.42269
ITA,Apr-75,95.7831
ITA,May-75,96.20861
ITA,Jun-75,96.67022
ITA,Jul-75,97.15769
ITA,Aug-75,97.67855
ITA,Sep-75,98.21024
ITA,Oct-75,98.70899
ITA,Nov-75,99.13174
ITA,Dec-75,99.44166
ITA,Jan-76,99.60905
ITA,Feb-76,99.67851
ITA,Mar-76,99.69202
ITA,Apr-76,99.69006
ITA,May-76,99.698
ITA,Jun-76,99.69847
ITA,Jul-76,99.6821
ITA,Aug-76,99.61132
ITA,Sep-76,99.48453
ITA,Oct-76,99.31638
ITA,Nov-76,99.0974
ITA,Dec-76,98.81862
ITA,Jan-77,98.50138
ITA,Feb-77,98.16759
ITA,Mar-77,97.86961
ITA,Apr-77,97.62806
ITA,May-77,97.45318
ITA,Jun-77,97.36125
ITA,Jul-77,97.35314
ITA,Aug-77,97.42671
ITA,Sep-77,97.57502
ITA,Oct-77,97.80814
ITA,Nov-77,98.12206
ITA,Dec-77,98.49183
ITA,Jan-78,98.87763
ITA,Feb-78,99.25507
ITA,Mar-78,99.66058
ITA,Apr-78,100.1069
ITA,May-78,100.5792
ITA,Jun-78,101.0956
ITA,Jul-78,101.6483
ITA,Aug-78,102.1747
ITA,Sep-78,102.6406
ITA,Oct-78,102.9842
ITA,Nov-78,103.2211
ITA,Dec-78,103.3819
ITA,Jan-79,103.5131
ITA,Feb-79,103.6514
ITA,Mar-79,103.7996
ITA,Apr-79,103.9468
ITA,May-79,104.107
ITA,Jun-79,104.2204
ITA,Jul-79,104.2419
ITA,Aug-79,104.1664
ITA,Sep-79,103.9649
ITA,Oct-79,103.6851
ITA,Nov-79,103.365
ITA,Dec-79,103.0021
ITA,Jan-80,102.5903
ITA,Feb-80,102.1394
ITA,Mar-80,101.6887
ITA,Apr-80,101.2856
ITA,May-80,100.9906
ITA,Jun-80,100.7831
ITA,Jul-80,100.5976
ITA,Aug-80,100.4049
ITA,Sep-80,100.2268
ITA,Oct-80,100.0791
ITA,Nov-80,99.98591
ITA,Dec-80,99.94201
ITA,Jan-81,99.95109
ITA,Feb-81,99.96941
ITA,Mar-81,99.97562
ITA,Apr-81,99.96375
ITA,May-81,99.95156
ITA,Jun-81,99.97513
ITA,Jul-81,100.0459
ITA,Aug-81,100.1337
ITA,Sep-81,100.2254
ITA,Oct-81,100.3135
ITA,Nov-81,100.3856
ITA,Dec-81,100.4363
ITA,Jan-82,100.4694
ITA,Feb-82,100.4682
ITA,Mar-82,100.396
ITA,Apr-82,100.2231
ITA,May-82,99.90511
ITA,Jun-82,99.42363
ITA,Jul-82,98.83909
ITA,Aug-82,98.22833
ITA,Sep-82,97.66881
ITA,Oct-82,97.19473
ITA,Nov-82,96.83699
ITA,Dec-82,96.61741
ITA,Jan-83,96.52336
ITA,Feb-83,96.56083
ITA,Mar-83,96.71859
ITA,Apr-83,96.94352
ITA,May-83,97.18879
ITA,Jun-83,97.45487
ITA,Jul-83,97.71103
ITA,Aug-83,97.92608
ITA,Sep-83,98.09225
ITA,Oct-83,98.25195
ITA,Nov-83,98.42969
ITA,Dec-83,98.61089
ITA,Jan-84,98.7634
ITA,Feb-84,98.8789
ITA,Mar-84,98.97349
ITA,Apr-84,99.04208
ITA,May-84,99.13891
ITA,Jun-84,99.27117
ITA,Jul-84,99.42915
ITA,Aug-84,99.58398
ITA,Sep-84,99.70169
ITA,Oct-84,99.74295
ITA,Nov-84,99.70096
ITA,Dec-84,99.584
ITA,Jan-85,99.38179
ITA,Feb-85,99.15044
ITA,Mar-85,98.93821
ITA,Apr-85,98.80791
ITA,May-85,98.76226
ITA,Jun-85,98.78384
ITA,Jul-85,98.85422
ITA,Aug-85,98.95763
ITA,Sep-85,99.09129
ITA,Oct-85,99.24256
ITA,Nov-85,99.40897
ITA,Dec-85,99.5711
ITA,Jan-86,99.73936
ITA,Feb-86,99.92661
ITA,Mar-86,100.113
ITA,Apr-86,100.2751
ITA,May-86,100.4033
ITA,Jun-86,100.5036
ITA,Jul-86,100.5811
ITA,Aug-86,100.6477
ITA,Sep-86,100.6979
ITA,Oct-86,100.7093
ITA,Nov-86,100.68
ITA,Dec-86,100.646
ITA,Jan-87,100.6522
ITA,Feb-87,100.6935
ITA,Mar-87,100.7433
ITA,Apr-87,100.7845
ITA,May-87,100.8144
ITA,Jun-87,100.8437
ITA,Jul-87,100.8588
ITA,Aug-87,100.8536
ITA,Sep-87,100.8416
ITA,Oct-87,100.8159
ITA,Nov-87,100.7969
ITA,Dec-87,100.8029
ITA,Jan-88,100.8485
ITA,Feb-88,100.9286
ITA,Mar-88,101.0403
ITA,Apr-88,101.1827
ITA,May-88,101.3609
ITA,Jun-88,101.5646
ITA,Jul-88,101.7782
ITA,Aug-88,101.9977
ITA,Sep-88,102.2132
ITA,Oct-88,102.3736
ITA,Nov-88,102.4416
ITA,Dec-88,102.4018
ITA,Jan-89,102.2777
ITA,Feb-89,102.1003
ITA,Mar-89,101.9221
ITA,Apr-89,101.7934
ITA,May-89,101.7302
ITA,Jun-89,101.7326
ITA,Jul-89,101.7816
ITA,Aug-89,101.8295
ITA,Sep-89,101.8374
ITA,Oct-89,101.8308
ITA,Nov-89,101.8267
ITA,Dec-89,101.8372
ITA,Jan-90,101.8556
ITA,Feb-90,101.8584
ITA,Mar-90,101.8398
ITA,Apr-90,101.7917
ITA,May-90,101.6907
ITA,Jun-90,101.5324
ITA,Jul-90,101.3297
ITA,Aug-90,101.0894
ITA,Sep-90,100.8135
ITA,Oct-90,100.5178
ITA,Nov-90,100.2359
ITA,Dec-90,99.97359
ITA,Jan-91,99.75578
ITA,Feb-91,99.6334
ITA,Mar-91,99.62822
ITA,Apr-91,99.70231
ITA,May-91,99.80815
ITA,Jun-91,99.92277
ITA,Jul-91,100.0268
ITA,Aug-91,100.1069
ITA,Sep-91,100.1757
ITA,Oct-91,100.2444
ITA,Nov-91,100.3186
ITA,Dec-91,100.3794
ITA,Jan-92,100.4046
ITA,Feb-92,100.3858
ITA,Mar-92,100.3069
ITA,Apr-92,100.1538
ITA,May-92,99.91186
ITA,Jun-92,99.58203
ITA,Jul-92,99.1748
ITA,Aug-92,98.69591
ITA,Sep-92,98.19446
ITA,Oct-92,97.70943
ITA,Nov-92,97.27032
ITA,Dec-92,96.90559
ITA,Jan-93,96.6461
ITA,Feb-93,96.45955
ITA,Mar-93,96.33881
ITA,Apr-93,96.26653
ITA,May-93,96.23432
ITA,Jun-93,96.231
ITA,Jul-93,96.2867
ITA,Aug-93,96.41274
ITA,Sep-93,96.62314
ITA,Oct-93,96.90608
ITA,Nov-93,97.24115
ITA,Dec-93,97.63936
ITA,Jan-94,98.09209
ITA,Feb-94,98.61366
ITA,Mar-94,99.18067
ITA,Apr-94,99.75876
ITA,May-94,100.313
ITA,Jun-94,100.8325
ITA,Jul-94,101.2932
ITA,Aug-94,101.6919
ITA,Sep-94,101.9987
ITA,Oct-94,102.2458
ITA,Nov-94,102.4502
ITA,Dec-94,102.5983
ITA,Jan-95,102.6775
ITA,Feb-95,102.6926
ITA,Mar-95,102.6763
ITA,Apr-95,102.6722
ITA,May-95,102.6737
ITA,Jun-95,102.646
ITA,Jul-95,102.5443
ITA,Aug-95,102.353
ITA,Sep-95,102.0811
ITA,Oct-95,101.7581
ITA,Nov-95,101.3883
ITA,Dec-95,100.9712
ITA,Jan-96,100.5203
ITA,Feb-96,100.0807
ITA,Mar-96,99.69067
ITA,Apr-96,99.36972
ITA,May-96,99.12169
ITA,Jun-96,98.92548
ITA,Jul-96,98.75755
ITA,Aug-96,98.60613
ITA,Sep-96,98.46552
ITA,Oct-96,98.35276
ITA,Nov-96,98.29407
ITA,Dec-96,98.32131
ITA,Jan-97,98.44414
ITA,Feb-97,98.62777
ITA,Mar-97,98.85321
ITA,Apr-97,99.12782
ITA,May-97,99.42121
ITA,Jun-97,99.71635
ITA,Jul-97,100.013
ITA,Aug-97,100.2863
ITA,Sep-97,100.5322
ITA,Oct-97,100.7141
ITA,Nov-97,100.843
ITA,Dec-97,100.9197
ITA,Jan-98,100.9531
ITA,Feb-98,100.9323
ITA,Mar-98,100.8353
ITA,Apr-98,100.673
ITA,May-98,100.469
ITA,Jun-98,100.2533
ITA,Jul-98,100.0507
ITA,Aug-98,99.8698
ITA,Sep-98,99.7179
ITA,Oct-98,99.59866
ITA,Nov-98,99.52776
ITA,Dec-98,99.50565
ITA,Jan-99,99.5219
ITA,Feb-99,99.52734
ITA,Mar-99,99.54664
ITA,Apr-99,99.59399
ITA,May-99,99.7192
ITA,Jun-99,99.90899
ITA,Jul-99,100.1291
ITA,Aug-99,100.3724
ITA,Sep-99,100.6393
ITA,Oct-99,100.8995
ITA,Nov-99,101.126
ITA,Dec-99,101.3096
ITA,Jan-00,101.4587
ITA,Feb-00,101.5794
ITA,Mar-00,101.6764
ITA,Apr-00,101.7443
ITA,May-00,101.775
ITA,Jun-00,101.789
ITA,Jul-00,101.8017
ITA,Aug-00,101.7976
ITA,Sep-00,101.7455
ITA,Oct-00,101.6648
ITA,Nov-00,101.5381
ITA,Dec-00,101.3729
ITA,Jan-01,101.1485
ITA,Feb-01,100.9018
ITA,Mar-01,100.6611
ITA,Apr-01,100.4396
ITA,May-01,100.2497
ITA,Jun-01,100.062
ITA,Jul-01,99.85822
ITA,Aug-01,99.6413
ITA,Sep-01,99.4396
ITA,Oct-01,99.31994
ITA,Nov-01,99.31738
ITA,Dec-01,99.42059
ITA,Jan-02,99.57907
ITA,Feb-02,99.74255
ITA,Mar-02,99.87548
ITA,Apr-02,99.95252
ITA,May-02,99.98589
ITA,Jun-02,99.98441
ITA,Jul-02,99.94587
ITA,Aug-02,99.86555
ITA,Sep-02,99.74666
ITA,Oct-02,99.59952
ITA,Nov-02,99.44679
ITA,Dec-02,99.28615
ITA,Jan-03,99.1302
ITA,Feb-03,98.97273
ITA,Mar-03,98.83113
ITA,Apr-03,98.7336
ITA,May-03,98.67528
ITA,Jun-03,98.65974
ITA,Jul-03,98.68852
ITA,Aug-03,98.77579
ITA,Sep-03,98.9242
ITA,Oct-03,99.09724
ITA,Nov-03,99.25078
ITA,Dec-03,99.36127
ITA,Jan-04,99.41205
ITA,Feb-04,99.42217
ITA,Mar-04,99.41092
ITA,Apr-04,99.40845
ITA,May-04,99.43343
ITA,Jun-04,99.50048
ITA,Jul-04,99.59254
ITA,Aug-04,99.71244
ITA,Sep-04,99.84441
ITA,Oct-04,99.96017
ITA,Nov-04,100.02
ITA,Dec-04,100.0069
ITA,Jan-05,99.91441
ITA,Feb-05,99.76172
ITA,Mar-05,99.57436
ITA,Apr-05,99.36233
ITA,May-05,99.17817
ITA,Jun-05,99.07741
ITA,Jul-05,99.08559
ITA,Aug-05,99.18297
ITA,Sep-05,99.34512
ITA,Oct-05,99.54547
ITA,Nov-05,99.77644
ITA,Dec-05,100.0308
ITA,Jan-06,100.2916
ITA,Feb-06,100.5352
ITA,Mar-06,100.764
ITA,Apr-06,100.9867
ITA,May-06,101.1862
ITA,Jun-06,101.3586
ITA,Jul-06,101.5281
ITA,Aug-06,101.7072
ITA,Sep-06,101.8815
ITA,Oct-06,102.0498
ITA,Nov-06,102.2192
ITA,Dec-06,102.3856
ITA,Jan-07,102.5163
ITA,Feb-07,102.6341
ITA,Mar-07,102.7269
ITA,Apr-07,102.7659
ITA,May-07,102.7483
ITA,Jun-07,102.6834
ITA,Jul-07,102.5891
ITA,Aug-07,102.4942
ITA,Sep-07,102.4124
ITA,Oct-07,102.3331
ITA,Nov-07,102.2343
ITA,Dec-07,102.129
ITA,Jan-08,102.0566
ITA,Feb-08,101.9862
ITA,Mar-08,101.8843
ITA,Apr-08,101.7184
ITA,May-08,101.4342
ITA,Jun-08,101.0205
ITA,Jul-08,100.4856
ITA,Aug-08,99.83453
ITA,Sep-08,99.07716
ITA,Oct-08,98.23205
ITA,Nov-08,97.39368
ITA,Dec-08,96.70174
ITA,Jan-09,96.23287
ITA,Feb-09,95.99631
ITA,Mar-09,96.00204
ITA,Apr-09,96.24306
ITA,May-09,96.67546
ITA,Jun-09,97.2336
ITA,Jul-09,97.83282
ITA,Aug-09,98.42099
ITA,Sep-09,98.98899
ITA,Oct-09,99.48851
ITA,Nov-09,99.88893
ITA,Dec-09,100.178
ITA,Jan-10,100.3675
ITA,Feb-10,100.4855
ITA,Mar-10,100.5649
ITA,Apr-10,100.6424
ITA,May-10,100.732
ITA,Jun-10,100.8622
ITA,Jul-10,101.0541
ITA,Aug-10,101.3174
ITA,Sep-10,101.62
ITA,Oct-10,101.9136
ITA,Nov-10,102.166
ITA,Dec-10,102.3648
ITA,Jan-11,102.4799
ITA,Feb-11,102.5164
ITA,Mar-11,102.4793
ITA,Apr-11,102.3677
ITA,May-11,102.1901
ITA,Jun-11,101.943
ITA,Jul-11,101.625
ITA,Aug-11,101.2434
ITA,Sep-11,100.8157
ITA,Oct-11,100.3925
ITA,Nov-11,99.9978
ITA,Dec-11,99.60903
ITA,Jan-12,99.22431
ITA,Feb-12,98.86997
ITA,Mar-12,98.53155
ITA,Apr-12,98.19981
ITA,May-12,97.91873
ITA,Jun-12,97.71115
ITA,Jul-12,97.57795
ITA,Aug-12,97.49881
ITA,Sep-12,97.44996
ITA,Oct-12,97.43987
ITA,Nov-12,97.46432
ITA,Dec-12,97.52259
ITA,Jan-13,97.60859
ITA,Feb-13,97.71532
ITA,Mar-13,97.84496
ITA,Apr-13,98.01114
ITA,May-13,98.22658
ITA,Jun-13,98.48139
ITA,Jul-13,98.74838
ITA,Aug-13,99.01344
ITA,Sep-13,99.26101
ITA,Oct-13,99.46397
ITA,Nov-13,99.63964
ITA,Dec-13,99.78472
ITA,Jan-14,99.92038
ITA,Feb-14,100.0485
ITA,Mar-14,100.1616
ITA,Apr-14,100.2237
ITA,May-14,100.1996
ITA,Jun-14,100.0857
ITA,Jul-14,99.91224
ITA,Aug-14,99.72404
ITA,Sep-14,99.57888
ITA,Oct-14,99.49532
ITA,Nov-14,99.49744
ITA,Dec-14,99.59148
ITA,Jan-15,99.76498
ITA,Feb-15,99.98175
ITA,Mar-15,100.1829
ITA,Apr-15,100.3347
ITA,May-15,100.4254
ITA,Jun-15,100.4823
ITA,Jul-15,100.5295
ITA,Aug-15,100.6002
ITA,Sep-15,100.7159
ITA,Oct-15,100.8259
ITA,Nov-15,100.8829
ITA,Dec-15,100.8768
ITA,Jan-16,100.8438
ITA,Feb-16,100.7945
ITA,Mar-16,100.7319
ITA,Apr-16,100.6541
ITA,May-16,100.544
ITA,Jun-16,100.4251
ITA,Jul-16,100.2847
ITA,Aug-16,100.1578
ITA,Sep-16,100.0704
ITA,Oct-16,100.0498
ITA,Nov-16,100.0896
ITA,Dec-16,100.166
ITA,Jan-17,100.2591
ITA,Feb-17,100.3547
ITA,Mar-17,100.4442
ITA,Apr-17,100.5333
ITA,May-17,100.6431
ITA,Jun-17,100.7871
ITA,Jul-17,100.9822
ITA,Aug-17,101.2177
ITA,Sep-17,101.4463
ITA,Oct-17,101.6404
ITA,Nov-17,101.7759
ITA,Dec-17,101.8292
ITA,Jan-18,101.7865
ITA,Feb-18,101.6804
ITA,Mar-18,101.5334
ITA,Apr-18,101.3562
ITA,May-18,101.1592
ITA,Jun-18,100.9634
ITA,Jul-18,100.7668
ITA,Aug-18,100.5802
ITA,Sep-18,100.4072
ITA,Oct-18,100.2427
ITA,Nov-18,100.082
ITA,Dec-18,99.9185
ITA,Jan-19,99.74429
ITA,Feb-19,99.58791
ITA,Mar-19,99.47183
ITA,Apr-19,99.39607
ITA,May-19,99.33962
ITA,Jun-19,99.28207
ITA,Jul-19,99.2307
ITA,Aug-19,99.19067
ITA,Sep-19,99.18009
ITA,Oct-19,99.18957
ITA,Nov-19,99.20957
ITA,Dec-19,99.23307
ITA,Jan-20,99.24039
ITA,Feb-20,99.21352
ITA,Mar-20,93.74148
ITA,Apr-20,89.88343
ITA,May-20,92.76472
ITA,Jun-20,96.32249
ITA,Jul-20,97.75684
ITA,Aug-20,98.7264
ITA,Sep-20,99.30139
ITA,Oct-20,99.68008
ITA,Nov-20,99.87434
ITA,Dec-20,100.1341
ITA,Jan-21,100.4689
ITA,Feb-21,100.8889
ITA,Mar-21,101.5011
ITA,Apr-21,102.1578
ITA,May-21,102.8045
ITA,Jun-21,103.3596
ITA,Jul-21,103.7581
ITA,Aug-21,103.9853
ITA,Sep-21,104.0556
ITA,Oct-21,103.9614
ITA,Nov-21,103.6919
ITA,Dec-21,103.2516
ITA,Jan-22,102.6377
ITA,Feb-22,101.9186
ITA,Mar-22,101.1443
ITA,Apr-22,100.381
ITA,May-22,99.64878
ITA,Jun-22,98.96513
ITA,Jul-22,98.39576
ITA,Aug-22,98.00637
ITA,Sep-22,97.80736
ITA,Oct-22,97.82058
ITA,Nov-22,98.02756
ITA,Dec-22,98.32955
ITA,Jan-23,98.62895
ITA,Feb-23,98.8653
ITA,Mar-23,99.01395
ITA,Apr-23,99.07223
ITA,May-23,99.07693
ITA,Jun-23,99.05771
ITA,Jul-23,99.02488
ITA,Aug-23,98.99409
ITA,Sep-23,98.9789
ITA,Oct-23,98.99585
ITA,Nov-23,99.04343
ITA,Dec-23,99.09104
ITA,Jan-24,99.13343
ITA,Feb-24,99.16708
ITA,Mar-24,99.20592
ITA,Apr-24,99.25844
ITA,May-24,99.35484
ITA,Jun-24,99.49836
ITA,Jul-24,99.66426
ITA,Aug-24,99.81763
ITA,Sep-24,99.9426
ITA,Oct-24,100.0179
ITA,Nov-24,100.0375
ITA,Dec-24,100.0162
ITA,Jan-25,99.99029
ITA,Feb-25,99.9692
ITA,Mar-25,99.95996
ITA,Apr-25,99.9726
ITA,May-25,100.0276
ITA,Jun-25,100.1068
